RIDAGEYR,INDFMPIR
43.0,5.0
66.0,5.0
44.0,1.41
5.0,1.53
2.0,3.6
43.0,0.63
65.0,5.0
34.0,1.33
68.0,1.32
27.0,0.81
59.0,5.0
31.0,2.16
33.0,0.93
74.0,3.04
39.0,5.0
51.0,5.0
33.0,1.1
56.0,4.82
67.0,4.48
47.0,1.67
68.0,5.0
26.0,0.91
18.0,3.36
26.0,5.0
12.0,5.0
73.0,4.42
3.0,1.3
26.0,3.22
73.0,4.37
80.0,1.02
68.0,3.14
77.0,3.62
4.0,2.16
7.0,0.63
67.0,0.05
16.0,0.02
61.0,0.11
58.0,5.0
53.0,0.2
18.0,2.64
18.0,1.02
13.0,2.09
66.0,3.82
15.0,1.99
68.0,1.91
67.0,0.88
80.0,2.46
14.0,3.42
27.0,3.43
80.0,1.19
11.0,1.14
14.0,5.0
54.0,0.67
17.0,5.0
50.0,5.0
43.0,1.09
63.0,5.0
42.0,1.03
19.0,4.22
33.0,5.0
43.0,5.0
41.0,0.65
77.0,4.36
38.0,5.0
14.0,5.0
13.0,1.81
26.0,3.47
54.0,1.65
6.0,0.53
70.0,3.82
12.0,1.15
24.0,2.33
38.0,5.0
6.0,4.46
41.0,0.44
15.0,5.0
71.0,5.0
27.0,1.12
7.0,1.99
72.0,0.48
77.0,5.0
53.0,1.08
28.0,5.0
26.0,1.14
10.0,2.92
11.0,0.86
26.0,5.0
55.0,5.0
55.0,5.0
30.0,2.11
50.0,5.0
7.0,0.77
16.0,1.13
5.0,2.68
27.0,1.14
22.0,1.27
76.0,1.29
22.0,0.44
72.0,0.12
11.0,0.03
57.0,2.73
4.0,1.15
69.0,0.79
18.0,2.98
73.0,1.52
60.0,0.96
40.0,5.0
74.0,2.06
10.0,0.41
14.0,2.67
60.0,3.97
8.0,2.82
71.0,4.06
75.0,3.44
67.0,3.43
59.0,0.42
22.0,2.43
1.0,1.7
69.0,0.73
51.0,5.0
9.0,2.09
5.0,1.98
80.0,0.7
11.0,5.0
15.0,2.92
54.0,1.64
30.0,0.65
30.0,3.02
29.0,5.0
9.0,0.91
58.0,1.46
61.0,5.0
14.0,0.96
15.0,2.92
79.0,4.31
69.0,1.23
11.0,0.05
10.0,3.02
80.0,4.71
10.0,1.83
7.0,0.58
9.0,1.13
62.0,3.58
63.0,5.0
15.0,5.0
31.0,0.86
17.0,0.87
14.0,1.29
46.0,4.02
78.0,5.0
5.397605346934028e-79,5.0
43.0,2.33
66.0,5.0
1.0,3.17
54.0,0.92
28.0,5.0
64.0,5.0
15.0,1.57
62.0,3.57
69.0,0.92
66.0,5.0
41.0,2.52
8.0,1.85
63.0,0.51
78.0,4.62
2.0,0.43
66.0,0.07
39.0,1.82
80.0,1.94
47.0,1.41
56.0,1.2
24.0,1.79
65.0,3.97
50.0,0.18
61.0,1.66
51.0,3.24
80.0,5.0
1.0,0.3
32.0,2.16
2.0,1.91
11.0,2.88
60.0,2.61
8.0,1.37
18.0,1.72
32.0,2.61
58.0,0.69
51.0,4.08
62.0,5.0
79.0,2.41
12.0,1.13
57.0,2.17
60.0,5.0
54.0,2.17
42.0,0.57
56.0,4.54
7.0,5.0
75.0,4.17
61.0,2.31
1.0,1.97
29.0,4.68
36.0,0.61
5.0,1.71
52.0,2.18
16.0,0.69
43.0,5.0
36.0,5.0
48.0,5.0
27.0,0.87
76.0,1.84
68.0,5.0
12.0,1.49
46.0,3.7
5.0,0.93
13.0,2.85
69.0,3.3
73.0,3.0
22.0,2.52
73.0,5.0
17.0,3.47
5.397605346934028e-79,0.93
47.0,2.85
51.0,2.82
14.0,5.0
61.0,5.0
17.0,1.01
4.0,1.41
31.0,0.23
5.397605346934028e-79,3.22
43.0,5.0
30.0,3.02
47.0,0.39
65.0,1.04
12.0,5.0
40.0,0.85
80.0,3.68
34.0,1.97
11.0,2.0
